customer_id,name,email,city,region,segment,join_date
CUST00001,Customer_1,customer1@email.com,Kolkata,Northeast,Regular,2022-11-24
CUST00002,Customer_2,customer2@email.com,Hyderabad,West,Budget,2022-02-27
CUST00003,Customer_3,customer3@email.com,Ahmedabad,East,Regular,2022-01-13
CUST00004,Customer_4,customer4@email.com,Chennai,Central,Regular,2022-05-21
CUST00005,Customer_5,customer5@email.com,Kolkata,South,Regular,2022-05-06
CUST00006,Customer_6,customer6@email.com,Surat,Central,Budget,2022-04-25
CUST00007,Customer_7,customer7@email.com,Bengaluru,Central,Premium,2022-03-13
CUST00008,Customer_8,customer8@email.com,Kolkata,East,Premium,2022-02-22
CUST00009,Customer_9,customer9@email.com,Ahmedabad,West,Regular,2022-12-13
CUST00010,Customer_10,customer10@email.com,Chennai,Central,Budget,2022-10-07
CUST00011,Customer_11,customer11@email.com,Hyderabad,West,Premium,2022-02-14
CUST00012,Customer_12,customer12@email.com,Ahmedabad,North,Regular,2022-10-30
CUST00013,Customer_13,customer13@email.com,Ahmedabad,Northeast,Regular,2022-08-05
CUST00014,Customer_14,customer14@email.com,Bengaluru,West,Budget,2022-01-17
CUST00015,Customer_15,customer15@email.com,Pune,South,Budget,2022-01-16
CUST00016,Customer_16,customer16@email.com,Chennai,Northeast,Regular,2022-02-17
CUST00017,Customer_17,customer17@email.com,Delhi,South,Regular,2022-04-22
CUST00018,Customer_18,customer18@email.com,Ahmedabad,Central,Regular,2022-04-30
CUST00019,Customer_19,customer19@email.com,Pune,Northeast,Premium,2022-09-16
CUST00020,Customer_20,customer20@email.com,Delhi,West,Regular,2022-11-05
CUST00021,Customer_21,customer21@email.com,Chennai,Northeast,Regular,2022-01-14
CUST00022,Customer_22,customer22@email.com,Mumbai,Central,Regular,2022-10-15
CUST00023,Customer_23,customer23@email.com,Surat,East,Budget,2022-04-12
CUST00024,Customer_24,customer24@email.com,Pune,South,Regular,2022-11-29
CUST00025,Customer_25,customer25@email.com,Jaipur,Central,Regular,2022-12-26
CUST00026,Customer_26,customer26@email.com,Mumbai,East,Regular,2022-10-07
CUST00027,Customer_27,customer27@email.com,Surat,Northeast,Regular,2022-08-03
CUST00028,Customer_28,customer28@email.com,Bengaluru,Northeast,Regular,2022-04-23
CUST00029,Customer_29,customer29@email.com,Kolkata,Central,Regular,2022-08-18
